EmployeeNumber,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,YearlyIncome
887,Y,No,16.0,3.0,2.0,80.0,1.0,7.0,2.0,3.0,4.0,2.0,0.0,2.0,No,42960.0
1646,Y,Yes,13.0,3.0,3.0,80.0,0.0,6.0,2.0,3.0,6.0,3.0,1.0,3.0,No,45120.0
1312,Y,No,12.0,3.0,1.0,80.0,0.0,10.0,0.0,3.0,7.0,7.0,1.0,7.0,No,85128.0
176,Y,Yes,13.0,3.0,3.0,80.0,1.0,12.0,2.0,3.0,9.0,7.0,0.0,7.0,No,98268.0
163,Y,Yes,18.0,3.0,2.0,80.0,0.0,12.0,3.0,2.0,7.0,7.0,7.0,7.0,Yes,74064.0
142,Y,Yes,11.0,3.0,4.0,80.0,0.0,6.0,1.0,3.0,6.0,4.0,0.0,3.0,Yes,68928.0
393,Y,No,14.0,3.0,2.0,80.0,1.0,10.0,2.0,3.0,2.0,2.0,1.0,2.0,No,68940.0
311,Y,No,17.0,3.0,3.0,80.0,1.0,13.0,2.0,3.0,9.0,8.0,5.0,8.0,No,33516.0
714,Y,Yes,20.0,4.0,2.0,80.0,2.0,6.0,3.0,3.0,6.0,5.0,0.0,4.0,No,55764.0
267,Y,Yes,12.0,3.0,1.0,80.0,1.0,8.0,3.0,2.0,8.0,7.0,1.0,7.0,No,42768.0
913,Y,Yes,13.0,3.0,4.0,80.0,0.0,8.0,0.0,3.0,8.0,7.0,7.0,1.0,No,30708.0
1633,Y,No,13.0,3.0,4.0,80.0,0.0,10.0,2.0,1.0,9.0,2.0,3.0,8.0,No,60504.0
2035,Y,No,21.0,4.0,4.0,80.0,2.0,8.0,2.0,3.0,8.0,7.0,1.0,7.0,No,80544.0
1071,Y,No,19.0,3.0,2.0,80.0,1.0,18.0,4.0,3.0,5.0,4.0,0.0,3.0,No,35304.0
1763,Y,No,16.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,7.0,0.0,1.0,7.0,No,63528.0
1453,Y,No,18.0,3.0,1.0,80.0,1.0,13.0,5.0,3.0,13.0,7.0,9.0,9.0,No,129516.0
1175,Y,Yes,11.0,3.0,4.0,80.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,Yes,30180.0
167,Y,Yes,19.0,3.0,4.0,80.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Yes,20100.0
1105,Y,Yes,14.0,3.0,3.0,80.0,3.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,No,80328.0
1993,Y,No,23.0,4.0,2.0,80.0,0.0,25.0,3.0,3.0,17.0,14.0,12.0,11.0,No,103596.0
653,Y,No,22.0,4.0,4.0,80.0,2.0,13.0,4.0,4.0,7.0,7.0,5.0,7.0,No,65520.0
1506,Y,No,14.0,3.0,4.0,80.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,No,18756.0
323,Y,No,11.0,3.0,3.0,80.0,1.0,32.0,3.0,2.0,7.0,0.0,0.0,6.0,No,234204.0
1052,Y,No,14.0,3.0,2.0,80.0,1.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,Yes,58008.0
270,Y,No,16.0,3.0,2.0,80.0,1.0,11.0,5.0,3.0,5.0,3.0,0.0,2.0,No,63180.0
1866,Y,No,13.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,16.0,12.0,6.0,14.0,No,232704.0
342,Y,No,11.0,3.0,2.0,80.0,2.0,17.0,5.0,3.0,1.0,0.0,0.0,0.0,Yes,120576.0
1478,Y,No,18.0,3.0,4.0,80.0,0.0,15.0,2.0,3.0,13.0,9.0,3.0,12.0,No,57108.0
72,Y,Yes,19.0,3.0,3.0,80.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,No,49884.0
1997,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,1.0,3.0,8.0,3.0,7.0,7.0,No,63852.0
861,Y,No,12.0,3.0,2.0,80.0,1.0,10.0,3.0,2.0,5.0,4.0,0.0,3.0,No,45132.0
659,Y,No,13.0,3.0,2.0,80.0,2.0,10.0,4.0,3.0,10.0,2.0,2.0,2.0,No,49068.0
1648,Y,No,13.0,3.0,3.0,80.0,0.0,6.0,0.0,2.0,4.0,2.0,1.0,2.0,No,30960.0
1681,Y,Yes,25.0,4.0,3.0,80.0,1.0,7.0,2.0,3.0,6.0,5.0,1.0,2.0,No,64416.0
46,Y,No,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,No,31740.0
655,Y,No,12.0,3.0,3.0,80.0,2.0,6.0,5.0,2.0,5.0,3.0,0.0,3.0,No,26244.0
2020,Y,Yes,12.0,3.0,3.0,80.0,0.0,6.0,2.0,3.0,4.0,3.0,1.0,2.0,No,29232.0
1545,Y,No,13.0,3.0,4.0,80.0,0.0,5.0,2.0,3.0,5.0,3.0,0.0,2.0,No,51840.0
60,Y,No,20.0,4.0,3.0,80.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,No,54816.0
1582,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,3.0,3.0,9.0,8.0,7.0,7.0,No,119088.0
1577,Y,No,13.0,3.0,3.0,80.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,No,35664.0
1060,Y,No,16.0,3.0,1.0,80.0,1.0,8.0,2.0,3.0,2.0,2.0,2.0,2.0,No,33852.0
391,Y,No,12.0,3.0,2.0,80.0,0.0,17.0,3.0,3.0,17.0,12.0,5.0,7.0,No,25380.0
1165,Y,No,13.0,3.0,1.0,80.0,1.0,11.0,3.0,1.0,11.0,8.0,3.0,10.0,Yes,88032.0
590,Y,Yes,15.0,3.0,3.0,80.0,3.0,11.0,2.0,3.0,3.0,2.0,0.0,2.0,Yes,119400.0
1642,Y,Yes,11.0,3.0,3.0,80.0,0.0,14.0,3.0,3.0,10.0,7.0,0.0,2.0,No,68916.0
1860,Y,No,13.0,3.0,4.0,80.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,No,47616.0
1625,Y,No,11.0,3.0,3.0,80.0,1.0,27.0,2.0,3.0,5.0,2.0,1.0,0.0,No,235896.0
1764,Y,No,14.0,3.0,2.0,80.0,0.0,12.0,3.0,3.0,7.0,7.0,0.0,7.0,No,32616.0
1787,Y,No,14.0,3.0,1.0,80.0,2.0,5.0,2.0,3.0,5.0,2.0,0.0,3.0,No,50268.0
2013,Y,No,14.0,3.0,2.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,No,27228.0
45,Y,Yes,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,Yes,27516.0
1818,Y,Yes,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,5.0,1.0,1.0,4.0,Yes,25776.0
1659,Y,No,11.0,3.0,3.0,80.0,0.0,15.0,4.0,3.0,4.0,3.0,1.0,3.0,No,24156.0
2054,Y,No,14.0,3.0,2.0,80.0,0.0,5.0,3.0,1.0,5.0,4.0,0.0,4.0,No,45420.0
517,Y,No,16.0,3.0,2.0,80.0,1.0,8.0,5.0,3.0,5.0,2.0,1.0,2.0,No,30912.0
1842,Y,No,17.0,3.0,3.0,80.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,Yes,35472.0
28,Y,No,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,No,143928.0
2012,Y,No,19.0,3.0,3.0,80.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,No,28872.0
1982,Y,No,13.0,3.0,3.0,80.0,0.0,5.0,6.0,4.0,5.0,2.0,1.0,4.0,No,31764.0
1016,Y,Yes,15.0,3.0,1.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,Yes,31200.0
502,Y,Yes,13.0,3.0,2.0,80.0,0.0,9.0,3.0,2.0,5.0,2.0,0.0,4.0,Yes,63648.0
491,Y,No,15.0,3.0,4.0,80.0,0.0,20.0,2.0,3.0,4.0,3.0,1.0,3.0,No,125952.0
79,Y,No,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,10.0,3.0,9.0,9.0,No,28872.0
896,Y,Yes,19.0,3.0,3.0,80.0,3.0,5.0,3.0,3.0,3.0,2.0,0.0,2.0,Yes,33600.0
349,Y,No,14.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,3.0,2.0,0.0,2.0,No,83172.0
888,Y,No,17.0,3.0,4.0,80.0,0.0,6.0,2.0,2.0,5.0,2.0,3.0,4.0,No,37944.0
1555,Y,No,12.0,3.0,1.0,80.0,1.0,12.0,2.0,3.0,7.0,1.0,2.0,5.0,No,70536.0
600,Y,No,11.0,3.0,3.0,80.0,0.0,15.0,2.0,3.0,11.0,9.0,6.0,9.0,No,56604.0
1203,Y,Yes,11.0,3.0,2.0,80.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,Yes,34236.0
292,Y,No,22.0,4.0,3.0,80.0,0.0,12.0,2.0,3.0,11.0,8.0,5.0,8.0,No,101688.0
1172,Y,No,12.0,3.0,2.0,80.0,1.0,10.0,2.0,3.0,8.0,0.0,1.0,7.0,No,27096.0
647,Y,Yes,16.0,3.0,4.0,80.0,1.0,6.0,4.0,3.0,6.0,3.0,1.0,2.0,Yes,34632.0
1306,Y,No,22.0,4.0,3.0,80.0,0.0,22.0,4.0,3.0,0.0,0.0,0.0,0.0,No,216732.0
661,Y,Yes,14.0,3.0,3.0,80.0,1.0,21.0,3.0,2.0,1.0,0.0,0.0,0.0,No,199524.0
1950,Y,No,21.0,4.0,1.0,80.0,0.0,14.0,3.0,2.0,14.0,8.0,2.0,1.0,No,118656.0
1102,Y,No,16.0,3.0,4.0,80.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,No,26484.0
2040,Y,Yes,16.0,3.0,3.0,80.0,0.0,9.0,2.0,3.0,9.0,0.0,1.0,7.0,No,106044.0
231,Y,No,20.0,4.0,1.0,80.0,0.0,8.0,2.0,3.0,5.0,4.0,1.0,4.0,No,36456.0
1792,Y,Yes,12.0,3.0,3.0,80.0,3.0,6.0,2.0,2.0,5.0,3.0,2.0,3.0,Yes,28104.0
611,Y,No,12.0,3.0,2.0,80.0,2.0,8.0,2.0,4.0,3.0,2.0,1.0,2.0,No,51144.0
22,Y,Yes,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,No,35220.0
1128,Y,No,14.0,3.0,1.0,80.0,0.0,21.0,2.0,4.0,20.0,7.0,4.0,9.0,No,235512.0
577,Y,No,15.0,3.0,3.0,80.0,0.0,6.0,2.0,3.0,5.0,4.0,4.0,3.0,No,50760.0
97,Y,No,12.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,No,36456.0
830,Y,No,12.0,3.0,3.0,80.0,1.0,14.0,3.0,3.0,14.0,13.0,6.0,8.0,No,73944.0
1297,Y,No,14.0,3.0,2.0,80.0,0.0,8.0,6.0,2.0,7.0,0.0,7.0,7.0,No,34056.0
1121,Y,No,17.0,3.0,2.0,80.0,3.0,10.0,3.0,2.0,9.0,7.0,1.0,7.0,No,91860.0
1140,Y,No,11.0,3.0,4.0,80.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,2.0,No,48396.0
466,Y,Yes,15.0,3.0,4.0,80.0,0.0,8.0,3.0,3.0,5.0,4.0,1.0,2.0,No,72384.0
1334,Y,Yes,13.0,3.0,4.0,80.0,0.0,21.0,3.0,2.0,20.0,8.0,2.0,10.0,No,214332.0
1,Y,Yes,11.0,3.0,1.0,80.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,Yes,71916.0
1044,Y,No,19.0,3.0,4.0,80.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,No,28104.0
1520,Y,No,20.0,4.0,1.0,80.0,1.0,26.0,2.0,3.0,14.0,9.0,1.0,12.0,No,192384.0
1322,Y,No,11.0,3.0,1.0,80.0,0.0,9.0,6.0,3.0,8.0,7.0,1.0,7.0,No,54408.0
18,Y,No,11.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,No,31932.0
1030,Y,No,18.0,3.0,2.0,80.0,0.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,No,28560.0
769,Y,No,17.0,3.0,4.0,80.0,0.0,19.0,4.0,3.0,2.0,2.0,2.0,2.0,No,29400.0
867,Y,No,22.0,4.0,3.0,80.0,0.0,31.0,3.0,3.0,9.0,8.0,0.0,0.0,No,165912.0
1934,Y,No,18.0,3.0,3.0,80.0,1.0,16.0,4.0,4.0,8.0,7.0,1.0,7.0,No,65604.0
1394,Y,Yes,15.0,3.0,4.0,80.0,0.0,8.0,2.0,3.0,6.0,4.0,1.0,3.0,No,35952.0
94,Y,No,23.0,4.0,4.0,80.0,1.0,6.0,3.0,3.0,5.0,4.0,0.0,4.0,No,32436.0
1507,Y,No,14.0,3.0,4.0,80.0,0.0,5.0,5.0,3.0,4.0,2.0,1.0,3.0,No,58776.0
1534,Y,No,14.0,3.0,2.0,80.0,0.0,15.0,3.0,1.0,5.0,4.0,1.0,0.0,Yes,24216.0
903,Y,Yes,22.0,4.0,1.0,80.0,1.0,8.0,2.0,3.0,7.0,6.0,7.0,7.0,No,54444.0
1844,Y,Yes,15.0,3.0,4.0,80.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,Yes,28020.0
298,Y,Yes,18.0,3.0,3.0,80.0,0.0,16.0,3.0,3.0,1.0,0.0,0.0,0.0,No,163092.0
330,Y,No,11.0,3.0,1.0,80.0,1.0,6.0,5.0,3.0,4.0,3.0,1.0,2.0,No,47172.0
464,Y,No,13.0,3.0,4.0,80.0,0.0,17.0,5.0,3.0,16.0,6.0,0.0,13.0,No,97140.0
1011,Y,No,12.0,3.0,3.0,80.0,1.0,4.0,1.0,3.0,4.0,3.0,0.0,3.0,No,49776.0
19,Y,Yes,14.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,Yes,24336.0
954,Y,No,12.0,3.0,2.0,80.0,1.0,11.0,2.0,2.0,1.0,0.0,0.0,0.0,No,116460.0
1296,Y,Yes,12.0,3.0,2.0,80.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,No,46404.0
2026,Y,No,21.0,4.0,1.0,80.0,1.0,13.0,2.0,2.0,13.0,12.0,1.0,9.0,No,75672.0
531,Y,Yes,14.0,3.0,3.0,80.0,1.0,21.0,3.0,3.0,21.0,8.0,1.0,6.0,No,230364.0
1220,Y,No,12.0,3.0,1.0,80.0,1.0,10.0,3.0,2.0,10.0,7.0,0.0,1.0,No,54468.0
1513,Y,No,13.0,3.0,3.0,80.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,2.0,No,38160.0
1908,Y,No,16.0,3.0,3.0,80.0,2.0,12.0,1.0,1.0,4.0,2.0,1.0,3.0,No,66084.0
985,Y,No,18.0,3.0,4.0,80.0,0.0,9.0,3.0,3.0,8.0,7.0,0.0,7.0,No,94560.0
618,Y,No,12.0,3.0,1.0,80.0,2.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,No,51672.0
260,Y,No,16.0,3.0,4.0,80.0,0.0,7.0,2.0,2.0,7.0,7.0,0.0,3.0,No,27348.0
813,Y,No,20.0,4.0,2.0,80.0,1.0,9.0,3.0,3.0,5.0,2.0,1.0,4.0,No,37788.0
453,Y,Yes,22.0,4.0,3.0,80.0,3.0,6.0,2.0,2.0,4.0,3.0,0.0,2.0,No,89484.0
477,Y,No,23.0,4.0,2.0,80.0,0.0,14.0,6.0,3.0,1.0,0.0,0.0,0.0,No,81372.0
1905,Y,Yes,23.0,4.0,2.0,80.0,1.0,5.0,2.0,3.0,5.0,2.0,3.0,0.0,Yes,27684.0
2051,Y,No,14.0,3.0,2.0,80.0,3.0,20.0,2.0,3.0,5.0,3.0,0.0,2.0,No,24012.0
1338,Y,No,14.0,3.0,1.0,80.0,0.0,36.0,4.0,3.0,7.0,3.0,7.0,7.0,No,236604.0
1708,Y,No,12.0,3.0,2.0,80.0,0.0,10.0,3.0,3.0,10.0,8.0,8.0,7.0,No,110892.0
482,Y,No,11.0,3.0,3.0,80.0,0.0,15.0,2.0,3.0,3.0,2.0,1.0,2.0,No,81060.0
698,Y,No,15.0,3.0,3.0,80.0,1.0,16.0,1.0,4.0,9.0,7.0,7.0,1.0,No,128700.0
211,Y,No,17.0,3.0,3.0,80.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,No,73584.0
909,Y,No,11.0,3.0,3.0,80.0,2.0,13.0,2.0,3.0,5.0,4.0,0.0,4.0,No,62448.0
1653,Y,No,17.0,3.0,3.0,80.0,2.0,7.0,6.0,3.0,7.0,7.0,0.0,7.0,No,62472.0
78,Y,Yes,22.0,4.0,2.0,80.0,1.0,9.0,3.0,3.0,9.0,8.0,7.0,8.0,No,73944.0
442,Y,No,24.0,4.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,9.0,8.0,9.0,No,107316.0
380,Y,Yes,18.0,3.0,1.0,80.0,2.0,15.0,2.0,3.0,5.0,2.0,0.0,2.0,No,163236.0
199,Y,No,13.0,3.0,2.0,80.0,1.0,21.0,2.0,2.0,7.0,6.0,7.0,7.0,No,206172.0
170,Y,No,14.0,3.0,3.0,80.0,0.0,16.0,2.0,2.0,15.0,11.0,5.0,11.0,No,78804.0
81,Y,No,11.0,3.0,4.0,80.0,0.0,28.0,3.0,2.0,21.0,16.0,7.0,9.0,No,91644.0
982,Y,No,11.0,3.0,1.0,80.0,1.0,10.0,2.0,4.0,8.0,4.0,7.0,7.0,No,87168.0
809,Y,No,13.0,3.0,2.0,80.0,1.0,24.0,4.0,2.0,24.0,7.0,14.0,9.0,No,221160.0
302,Y,No,12.0,3.0,4.0,80.0,0.0,23.0,2.0,3.0,19.0,7.0,12.0,8.0,No,106380.0
390,Y,Yes,13.0,3.0,3.0,80.0,1.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,No,56892.0
734,Y,No,12.0,3.0,2.0,80.0,1.0,22.0,3.0,3.0,22.0,7.0,2.0,10.0,No,230268.0
394,Y,Yes,13.0,3.0,4.0,80.0,1.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0,Yes,28476.0
152,Y,No,12.0,3.0,1.0,80.0,0.0,12.0,3.0,3.0,5.0,3.0,1.0,3.0,No,89136.0
1309,Y,No,18.0,3.0,1.0,80.0,1.0,10.0,3.0,3.0,10.0,4.0,1.0,1.0,Yes,58596.0
569,Y,No,15.0,3.0,2.0,80.0,1.0,28.0,2.0,3.0,27.0,10.0,15.0,7.0,No,204552.0
201,Y,No,14.0,3.0,4.0,80.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,No,17796.0
1483,Y,No,24.0,4.0,1.0,80.0,1.0,13.0,2.0,2.0,12.0,9.0,2.0,8.0,No,58800.0
974,Y,No,15.0,3.0,2.0,80.0,1.0,3.0,5.0,3.0,3.0,1.0,0.0,2.0,No,25884.0
1597,Y,No,14.0,3.0,2.0,80.0,1.0,8.0,3.0,2.0,8.0,2.0,7.0,7.0,No,60756.0
1219,Y,No,13.0,3.0,1.0,80.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,Yes,26520.0
757,Y,No,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,5.0,1.0,4.0,3.0,No,73704.0
1972,Y,Yes,11.0,3.0,2.0,80.0,1.0,7.0,2.0,3.0,6.0,2.0,1.0,2.0,No,35892.0
1581,Y,No,21.0,4.0,1.0,80.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,No,24732.0
1862,Y,Yes,12.0,3.0,3.0,80.0,0.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,118884.0
2024,Y,No,19.0,3.0,3.0,80.0,2.0,10.0,2.0,3.0,9.0,7.0,3.0,4.0,No,91728.0
1475,Y,No,13.0,3.0,3.0,80.0,0.0,6.0,3.0,2.0,5.0,2.0,1.0,3.0,No,41040.0
689,Y,No,15.0,3.0,3.0,80.0,1.0,10.0,2.0,3.0,10.0,7.0,7.0,8.0,No,113208.0
14,Y,No,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,5.0,4.0,0.0,3.0,No,29112.0
643,Y,No,21.0,4.0,4.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,No,25524.0
1779,Y,No,12.0,3.0,1.0,80.0,0.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,No,72348.0
218,Y,No,18.0,3.0,4.0,80.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,No,24288.0
1390,Y,Yes,12.0,3.0,4.0,80.0,2.0,8.0,2.0,4.0,5.0,4.0,1.0,4.0,No,73440.0
1307,Y,Yes,13.0,3.0,4.0,80.0,2.0,21.0,4.0,3.0,19.0,9.0,15.0,2.0,No,205476.0
1371,Y,No,20.0,4.0,2.0,80.0,0.0,8.0,3.0,3.0,6.0,2.0,0.0,0.0,No,60852.0
1006,Y,No,17.0,3.0,2.0,80.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,No,32208.0
1760,Y,No,14.0,3.0,2.0,80.0,1.0,9.0,4.0,2.0,6.0,1.0,0.0,5.0,No,29616.0
1718,Y,No,15.0,3.0,3.0,80.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0,No,27660.0
705,Y,No,16.0,3.0,1.0,80.0,1.0,5.0,3.0,4.0,3.0,2.0,0.0,2.0,No,33828.0
456,Y,No,13.0,3.0,3.0,80.0,3.0,10.0,2.0,3.0,10.0,9.0,1.0,2.0,No,73416.0
85,Y,No,13.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,6.0,5.0,0.0,3.0,No,77988.0
1050,Y,No,12.0,3.0,1.0,80.0,1.0,30.0,2.0,3.0,15.0,7.0,6.0,12.0,No,90300.0
1061,Y,Yes,11.0,3.0,4.0,80.0,1.0,29.0,2.0,2.0,8.0,1.0,7.0,7.0,No,230844.0
1514,Y,No,14.0,3.0,2.0,80.0,2.0,8.0,2.0,2.0,8.0,6.0,1.0,7.0,No,78588.0
1549,Y,Yes,12.0,3.0,2.0,80.0,1.0,15.0,3.0,3.0,15.0,14.0,5.0,7.0,No,62484.0
1590,Y,No,19.0,3.0,4.0,80.0,1.0,6.0,0.0,4.0,6.0,4.0,1.0,3.0,No,106236.0
538,Y,No,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,2.0,2.0,0.0,2.0,Yes,48372.0
100,Y,No,14.0,3.0,2.0,80.0,0.0,16.0,2.0,3.0,15.0,13.0,2.0,8.0,No,51744.0
1994,Y,No,12.0,3.0,3.0,80.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,No,24096.0
1918,Y,No,18.0,3.0,1.0,80.0,1.0,8.0,3.0,3.0,7.0,7.0,7.0,7.0,No,30528.0
1019,Y,No,15.0,3.0,1.0,80.0,1.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,No,29412.0
677,Y,No,12.0,3.0,4.0,80.0,0.0,6.0,3.0,3.0,5.0,0.0,1.0,2.0,No,85248.0
1171,Y,No,13.0,3.0,4.0,80.0,0.0,9.0,3.0,4.0,6.0,4.0,1.0,5.0,No,61860.0
522,Y,No,11.0,3.0,3.0,80.0,1.0,24.0,4.0,2.0,4.0,2.0,1.0,2.0,No,232872.0
100000,Y,No,11.0,3.0,4.0,80.0,0.0,6.0,3.0,2.0,6.0,5.0,1.0,1.0,,30708.0
100001,Y,Yes,12.0,3.0,2.0,80.0,0.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,,29736.0
100002,Y,Yes,12.0,3.0,3.0,80.0,2.0,5.0,3.0,3.0,5.0,4.0,0.0,3.0,,49944.0
100003,Y,No,13.0,3.0,4.0,80.0,1.0,9.0,6.0,3.0,9.0,5.0,7.0,7.0,,106008.0
100004,Y,Yes,13.0,3.0,3.0,80.0,0.0,10.0,2.0,2.0,10.0,9.0,7.0,8.0,,32232.0
100005,Y,Yes,20.0,4.0,1.0,80.0,2.0,20.0,4.0,2.0,4.0,2.0,0.0,3.0,,64860.0
100006,Y,No,18.0,3.0,4.0,80.0,1.0,7.0,6.0,3.0,2.0,1.0,2.0,2.0,,49524.0
100007,Y,No,15.0,3.0,3.0,80.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,,63612.0
100008,Y,No,16.0,3.0,2.0,80.0,1.0,17.0,3.0,3.0,7.0,7.0,0.0,7.0,,82596.0
100009,Y,No,13.0,3.0,4.0,80.0,1.0,28.0,2.0,3.0,5.0,2.0,4.0,2.0,,239316.0
100010,Y,No,12.0,3.0,3.0,80.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,,15132.0
100011,Y,Yes,11.0,3.0,3.0,80.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,0.0,,32352.0
100012,Y,Yes,18.0,3.0,4.0,80.0,1.0,22.0,2.0,3.0,12.0,11.0,1.0,5.0,,167676.0
100013,Y,Yes,15.0,3.0,2.0,80.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,,25080.0
100014,Y,No,13.0,3.0,4.0,80.0,1.0,6.0,6.0,3.0,5.0,1.0,0.0,4.0,,59232.0
100015,Y,Yes,16.0,3.0,2.0,80.0,1.0,12.0,2.0,1.0,5.0,3.0,1.0,4.0,,113268.0
100016,Y,Yes,24.0,4.0,1.0,80.0,1.0,31.0,5.0,2.0,29.0,10.0,11.0,10.0,,238164.0
100017,Y,No,17.0,3.0,4.0,80.0,2.0,6.0,3.0,3.0,3.0,2.0,0.0,2.0,,39744.0
100018,Y,No,13.0,3.0,4.0,80.0,1.0,10.0,5.0,3.0,10.0,5.0,7.0,7.0,,24132.0
100019,Y,Yes,22.0,4.0,1.0,80.0,0.0,4.0,0.0,3.0,3.0,2.0,1.0,2.0,,27852.0
100020,Y,No,16.0,3.0,3.0,80.0,0.0,10.0,0.0,2.0,7.0,7.0,0.0,7.0,,60660.0
100021,Y,Yes,14.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,8.0,7.0,0.0,7.0,,59976.0
100022,Y,No,14.0,3.0,2.0,80.0,0.0,16.0,2.0,3.0,1.0,0.0,0.0,0.0,,191904.0
100023,Y,No,22.0,4.0,2.0,80.0,2.0,10.0,3.0,4.0,8.0,7.0,5.0,7.0,,61848.0
100024,Y,Yes,11.0,3.0,3.0,80.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,,38064.0
100025,Y,No,24.0,4.0,2.0,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,,116148.0
100026,Y,No,11.0,3.0,4.0,80.0,3.0,4.0,2.0,3.0,4.0,2.0,0.0,3.0,,31320.0
100027,Y,No,14.0,3.0,3.0,80.0,2.0,6.0,2.0,2.0,6.0,3.0,1.0,3.0,,114300.0
100028,Y,Yes,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,10.0,8.0,0.0,9.0,,62448.0
100029,Y,Yes,23.0,4.0,1.0,80.0,3.0,19.0,2.0,3.0,16.0,13.0,1.0,7.0,,55380.0
100030,Y,Yes,18.0,3.0,2.0,80.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,,28080.0
100031,Y,No,13.0,3.0,3.0,80.0,0.0,26.0,2.0,1.0,3.0,2.0,0.0,1.0,,214332.0
