EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked
1763,30.0,Travel_Rarely,305.0,Research & Development,16.0,3.0,Life Sciences,1.0,3.0,Male,58.0,4.0,2.0,Healthcare Representative,3.0,Married,5294.0,9128.0,3.0
1453,31.0,Travel_Rarely,326.0,Sales,8.0,2.0,Life Sciences,1.0,1.0,Male,31.0,3.0,3.0,Sales Executive,4.0,Divorced,10793.0,8386.0,1.0
1175,28.0,Travel_Rarely,1485.0,Research & Development,12.0,1.0,Life Sciences,1.0,3.0,Female,79.0,3.0,1.0,Laboratory Technician,4.0,Married,2515.0,22955.0,1.0
167,19.0,Travel_Rarely,528.0,Sales,22.0,1.0,Marketing,1.0,4.0,Male,50.0,3.0,1.0,Sales Representative,3.0,Single,1675.0,26820.0,1.0
1105,37.0,Travel_Rarely,309.0,Sales,10.0,4.0,Life Sciences,1.0,4.0,Female,88.0,2.0,2.0,Sales Executive,4.0,Divorced,6694.0,24223.0,2.0
1993,47.0,Travel_Rarely,1180.0,Research & Development,25.0,3.0,Medical,1.0,1.0,Male,84.0,3.0,3.0,Healthcare Representative,3.0,Single,8633.0,13084.0,2.0
653,31.0,Travel_Rarely,525.0,Sales,6.0,4.0,Medical,1.0,1.0,Male,66.0,4.0,2.0,Sales Executive,4.0,Divorced,5460.0,6219.0,4.0
1506,28.0,Travel_Rarely,1423.0,Research & Development,1.0,3.0,Life Sciences,1.0,1.0,Male,72.0,2.0,1.0,Research Scientist,3.0,Divorced,1563.0,12530.0,1.0
323,50.0,Travel_Rarely,854.0,Sales,1.0,4.0,Medical,1.0,4.0,Female,68.0,3.0,5.0,Manager,4.0,Divorced,19517.0,24118.0,3.0
1052,36.0,Travel_Rarely,660.0,Research & Development,15.0,3.0,Other,1.0,1.0,Male,81.0,3.0,2.0,Laboratory Technician,3.0,Divorced,4834.0,7858.0,7.0
270,42.0,Non-Travel,926.0,Research & Development,21.0,2.0,Medical,1.0,3.0,Female,36.0,3.0,2.0,Manufacturing Director,3.0,Divorced,5265.0,16439.0,2.0
1866,43.0,Travel_Rarely,823.0,Research & Development,6.0,3.0,Medical,1.0,1.0,Female,81.0,2.0,5.0,Manager,3.0,Married,19392.0,22539.0,7.0
342,37.0,Travel_Frequently,504.0,Research & Development,10.0,3.0,Medical,1.0,1.0,Male,61.0,3.0,3.0,Manufacturing Director,3.0,Divorced,10048.0,22573.0,6.0
1478,34.0,Travel_Rarely,1326.0,Sales,3.0,3.0,Other,1.0,4.0,Male,81.0,1.0,2.0,Sales Executive,1.0,Single,4759.0,15891.0,3.0
72,26.0,Travel_Rarely,1443.0,Sales,23.0,3.0,Marketing,1.0,3.0,Female,47.0,2.0,2.0,Sales Executive,4.0,Married,4157.0,21436.0,7.0
1997,38.0,Travel_Frequently,508.0,Research & Development,6.0,4.0,Life Sciences,1.0,1.0,Male,72.0,2.0,2.0,Manufacturing Director,3.0,Married,5321.0,14284.0,2.0
861,30.0,Travel_Frequently,1012.0,Research & Development,5.0,4.0,Life Sciences,1.0,2.0,Male,75.0,2.0,1.0,Research Scientist,4.0,Divorced,3761.0,2373.0,9.0
659,42.0,Travel_Rarely,622.0,Research & Development,2.0,4.0,Life Sciences,1.0,3.0,Female,81.0,3.0,2.0,Healthcare Representative,4.0,Married,4089.0,5718.0,1.0
1648,27.0,Travel_Frequently,591.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Male,87.0,3.0,1.0,Research Scientist,4.0,Single,2580.0,6297.0,2.0
1681,33.0,Non-Travel,530.0,Sales,16.0,3.0,Life Sciences,1.0,3.0,Female,36.0,3.0,2.0,Sales Executive,4.0,Divorced,5368.0,16130.0,1.0
46,43.0,Travel_Rarely,1273.0,Research & Development,2.0,2.0,Medical,1.0,4.0,Female,72.0,4.0,1.0,Research Scientist,3.0,Divorced,2645.0,21923.0,1.0
655,27.0,Travel_Rarely,798.0,Research & Development,6.0,4.0,Medical,1.0,1.0,Female,66.0,2.0,1.0,Research Scientist,3.0,Divorced,2187.0,5013.0,0.0
2020,44.0,Travel_Rarely,1037.0,Research & Development,1.0,3.0,Medical,1.0,2.0,Male,42.0,3.0,1.0,Research Scientist,4.0,Single,2436.0,13422.0,6.0
1545,33.0,Travel_Rarely,575.0,Research & Development,25.0,3.0,Life Sciences,1.0,4.0,Male,44.0,2.0,2.0,Manufacturing Director,2.0,Single,4320.0,24152.0,1.0
60,34.0,Non-Travel,1065.0,Sales,23.0,4.0,Marketing,1.0,2.0,Male,72.0,3.0,2.0,Sales Executive,3.0,Single,4568.0,10034.0,0.0
1582,38.0,Travel_Rarely,1245.0,Sales,14.0,3.0,Life Sciences,1.0,3.0,Male,80.0,3.0,2.0,Sales Executive,2.0,Married,9924.0,12355.0,0.0
1577,34.0,Travel_Rarely,479.0,Research & Development,7.0,4.0,Medical,1.0,1.0,Male,35.0,3.0,1.0,Research Scientist,4.0,Single,2972.0,22061.0,1.0
1060,38.0,Travel_Frequently,1186.0,Research & Development,3.0,4.0,Other,1.0,3.0,Male,44.0,3.0,1.0,Research Scientist,3.0,Married,2821.0,2997.0,3.0
391,37.0,Travel_Rarely,1372.0,Research & Development,1.0,3.0,Life Sciences,1.0,4.0,Female,42.0,3.0,1.0,Research Scientist,4.0,Single,2115.0,15881.0,1.0
1165,29.0,Travel_Rarely,408.0,Sales,23.0,1.0,Life Sciences,1.0,4.0,Female,45.0,2.0,3.0,Sales Executive,1.0,Married,7336.0,11162.0,1.0
590,34.0,Travel_Frequently,988.0,Human Resources,23.0,3.0,Human Resources,1.0,2.0,Female,43.0,3.0,3.0,Human Resources,1.0,Divorced,9950.0,11533.0,9.0
1642,44.0,Travel_Frequently,602.0,Human Resources,1.0,5.0,Human Resources,1.0,1.0,Male,37.0,3.0,2.0,Human Resources,4.0,Married,5743.0,10503.0,4.0
1860,42.0,Travel_Rarely,1142.0,Research & Development,8.0,3.0,Life Sciences,1.0,4.0,Male,81.0,3.0,1.0,Laboratory Technician,3.0,Single,3968.0,13624.0,4.0
1625,47.0,Travel_Rarely,1176.0,Human Resources,26.0,4.0,Life Sciences,1.0,4.0,Female,98.0,3.0,5.0,Manager,3.0,Married,19658.0,5220.0,3.0
1764,32.0,Non-Travel,953.0,Research & Development,5.0,4.0,Technical Degree,1.0,2.0,Male,65.0,3.0,1.0,Research Scientist,2.0,Single,2718.0,17674.0,2.0
1787,37.0,Travel_Rarely,589.0,Sales,9.0,2.0,Marketing,1.0,2.0,Male,46.0,2.0,2.0,Sales Executive,2.0,Married,4189.0,8800.0,1.0
2013,32.0,Travel_Rarely,234.0,Sales,1.0,4.0,Medical,1.0,2.0,Male,68.0,2.0,1.0,Sales Representative,2.0,Married,2269.0,18024.0,0.0
45,24.0,Travel_Rarely,813.0,Research & Development,1.0,3.0,Medical,1.0,2.0,Male,61.0,3.0,1.0,Research Scientist,4.0,Married,2293.0,3020.0,2.0
1818,26.0,Travel_Rarely,920.0,Human Resources,20.0,2.0,Medical,1.0,4.0,Female,69.0,3.0,1.0,Human Resources,2.0,Married,2148.0,6889.0,0.0
1659,36.0,Travel_Rarely,311.0,Research & Development,7.0,3.0,Life Sciences,1.0,1.0,Male,77.0,3.0,1.0,Laboratory Technician,2.0,Single,2013.0,10950.0,2.0
2054,29.0,Travel_Rarely,468.0,Research & Development,28.0,4.0,Medical,1.0,4.0,Female,73.0,2.0,1.0,Research Scientist,1.0,Single,3785.0,8489.0,1.0
517,42.0,Travel_Rarely,201.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Female,95.0,3.0,1.0,Laboratory Technician,1.0,Divorced,2576.0,20490.0,3.0
1842,31.0,Travel_Rarely,359.0,Human Resources,18.0,5.0,Human Resources,1.0,4.0,Male,89.0,4.0,1.0,Human Resources,1.0,Married,2956.0,21495.0,0.0
28,34.0,Travel_Rarely,419.0,Research & Development,7.0,4.0,Life Sciences,1.0,1.0,Female,53.0,3.0,3.0,Research Director,2.0,Single,11994.0,21293.0,0.0
2012,40.0,Travel_Rarely,543.0,Research & Development,1.0,4.0,Life Sciences,1.0,1.0,Male,83.0,3.0,1.0,Laboratory Technician,4.0,Married,2406.0,4060.0,8.0
1982,23.0,Travel_Rarely,571.0,Research & Development,12.0,2.0,Other,1.0,4.0,Male,78.0,3.0,1.0,Laboratory Technician,4.0,Single,2647.0,13672.0,1.0
1016,20.0,Travel_Rarely,1097.0,Research & Development,11.0,3.0,Medical,1.0,4.0,Female,98.0,2.0,1.0,Research Scientist,1.0,Single,2600.0,18275.0,1.0
502,34.0,Non-Travel,1362.0,Sales,19.0,3.0,Marketing,1.0,1.0,Male,67.0,4.0,2.0,Sales Executive,4.0,Single,5304.0,4652.0,8.0
491,50.0,Travel_Rarely,1046.0,Research & Development,10.0,3.0,Technical Degree,1.0,4.0,Male,100.0,2.0,3.0,Healthcare Representative,4.0,Single,10496.0,2755.0,6.0
79,38.0,Travel_Frequently,653.0,Research & Development,29.0,5.0,Life Sciences,1.0,4.0,Female,50.0,3.0,2.0,Laboratory Technician,4.0,Single,2406.0,5456.0,1.0
896,29.0,Travel_Rarely,341.0,Sales,1.0,3.0,Medical,1.0,2.0,Female,48.0,2.0,1.0,Sales Representative,3.0,Divorced,2800.0,23522.0,6.0
349,29.0,Travel_Rarely,1247.0,Sales,20.0,2.0,Marketing,1.0,4.0,Male,45.0,3.0,2.0,Sales Executive,4.0,Divorced,6931.0,10732.0,2.0
888,24.0,Non-Travel,1269.0,Research & Development,4.0,1.0,Life Sciences,1.0,1.0,Male,46.0,2.0,1.0,Laboratory Technician,4.0,Married,3162.0,10778.0,0.0
1555,32.0,Travel_Rarely,824.0,Research & Development,5.0,2.0,Life Sciences,1.0,4.0,Female,67.0,2.0,2.0,Research Scientist,2.0,Married,5878.0,15624.0,3.0
600,35.0,Travel_Rarely,619.0,Sales,1.0,3.0,Marketing,1.0,2.0,Male,85.0,3.0,2.0,Sales Executive,3.0,Married,4717.0,18659.0,9.0
1203,22.0,Travel_Frequently,1256.0,Research & Development,3.0,4.0,Life Sciences,1.0,3.0,Male,48.0,2.0,1.0,Research Scientist,4.0,Married,2853.0,4223.0,0.0
292,30.0,Non-Travel,829.0,Research & Development,1.0,1.0,Life Sciences,1.0,3.0,Male,88.0,2.0,3.0,Manufacturing Director,3.0,Single,8474.0,20925.0,1.0
1172,35.0,Travel_Rarely,982.0,Research & Development,1.0,4.0,Medical,1.0,4.0,Male,58.0,2.0,1.0,Laboratory Technician,3.0,Married,2258.0,16340.0,6.0
647,24.0,Travel_Frequently,1287.0,Research & Development,7.0,3.0,Life Sciences,1.0,1.0,Female,55.0,3.0,1.0,Laboratory Technician,3.0,Married,2886.0,14168.0,1.0
1306,45.0,Travel_Frequently,364.0,Research & Development,25.0,3.0,Medical,1.0,2.0,Female,83.0,3.0,5.0,Manager,2.0,Single,18061.0,13035.0,3.0
661,43.0,Travel_Rarely,782.0,Research & Development,6.0,4.0,Other,1.0,2.0,Male,50.0,2.0,4.0,Research Director,4.0,Divorced,16627.0,2671.0,4.0
1950,34.0,Travel_Rarely,937.0,Sales,1.0,3.0,Marketing,1.0,1.0,Male,32.0,3.0,3.0,Sales Executive,4.0,Single,9888.0,6770.0,1.0
1102,28.0,Travel_Rarely,895.0,Research & Development,15.0,2.0,Life Sciences,1.0,1.0,Male,50.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2207.0,22482.0,1.0
2040,35.0,Travel_Rarely,1146.0,Human Resources,26.0,4.0,Life Sciences,1.0,3.0,Female,31.0,3.0,3.0,Human Resources,4.0,Single,8837.0,16642.0,1.0
231,32.0,Travel_Rarely,120.0,Research & Development,6.0,5.0,Life Sciences,1.0,3.0,Male,43.0,3.0,1.0,Research Scientist,3.0,Single,3038.0,12430.0,3.0
1792,44.0,Travel_Frequently,429.0,Research & Development,1.0,2.0,Medical,1.0,3.0,Male,99.0,3.0,1.0,Research Scientist,2.0,Divorced,2342.0,11092.0,1.0
611,29.0,Travel_Rarely,232.0,Research & Development,19.0,3.0,Technical Degree,1.0,4.0,Male,34.0,3.0,2.0,Manufacturing Director,4.0,Divorced,4262.0,22645.0,4.0
22,22.0,Non-Travel,1123.0,Research & Development,16.0,2.0,Medical,1.0,4.0,Male,96.0,4.0,1.0,Laboratory Technician,4.0,Divorced,2935.0,7324.0,1.0
1128,40.0,Travel_Rarely,1308.0,Research & Development,14.0,3.0,Medical,1.0,3.0,Male,44.0,2.0,5.0,Research Director,3.0,Single,19626.0,17544.0,1.0
577,35.0,Travel_Rarely,144.0,Research & Development,22.0,3.0,Life Sciences,1.0,4.0,Male,46.0,1.0,1.0,Laboratory Technician,3.0,Single,4230.0,19225.0,0.0
97,36.0,Travel_Rarely,132.0,Research & Development,6.0,3.0,Life Sciences,1.0,2.0,Female,55.0,4.0,1.0,Laboratory Technician,4.0,Married,3038.0,22002.0,3.0
830,32.0,Travel_Rarely,859.0,Research & Development,4.0,3.0,Life Sciences,1.0,3.0,Female,98.0,2.0,2.0,Manufacturing Director,3.0,Married,6162.0,19124.0,1.0
1297,51.0,Travel_Frequently,968.0,Research & Development,6.0,2.0,Medical,1.0,2.0,Female,40.0,2.0,1.0,Laboratory Technician,3.0,Single,2838.0,4257.0,0.0
1121,28.0,Travel_Rarely,950.0,Research & Development,3.0,3.0,Medical,1.0,4.0,Female,93.0,3.0,3.0,Manufacturing Director,2.0,Divorced,7655.0,8039.0,0.0
1140,34.0,Travel_Frequently,1003.0,Research & Development,2.0,2.0,Life Sciences,1.0,4.0,Male,95.0,3.0,2.0,Manufacturing Director,3.0,Single,4033.0,15834.0,2.0
466,41.0,Travel_Rarely,483.0,Research & Development,6.0,3.0,Medical,1.0,4.0,Male,95.0,2.0,2.0,Manufacturing Director,2.0,Single,6032.0,10110.0,6.0
1334,42.0,Non-Travel,495.0,Research & Development,2.0,1.0,Life Sciences,1.0,3.0,Male,37.0,3.0,4.0,Manager,3.0,Married,17861.0,26582.0,0.0
1,41.0,Travel_Rarely,1102.0,Sales,1.0,2.0,Life Sciences,1.0,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,5993.0,19479.0,8.0
1044,33.0,Non-Travel,1038.0,Sales,8.0,1.0,Life Sciences,1.0,2.0,Female,88.0,2.0,1.0,Sales Representative,4.0,Single,2342.0,21437.0,0.0
1520,54.0,Travel_Frequently,1050.0,Research & Development,11.0,4.0,Medical,1.0,2.0,Female,87.0,3.0,4.0,Manager,4.0,Divorced,16032.0,24456.0,3.0
1322,39.0,Travel_Rarely,524.0,Research & Development,18.0,2.0,Life Sciences,1.0,1.0,Male,32.0,3.0,2.0,Manufacturing Director,3.0,Single,4534.0,13352.0,0.0
18,34.0,Travel_Rarely,1346.0,Research & Development,19.0,2.0,Medical,1.0,2.0,Male,93.0,3.0,1.0,Laboratory Technician,4.0,Divorced,2661.0,8758.0,0.0
1030,50.0,Travel_Rarely,804.0,Research & Development,9.0,3.0,Life Sciences,1.0,1.0,Male,64.0,3.0,1.0,Laboratory Technician,4.0,Married,2380.0,20165.0,4.0
769,53.0,Travel_Rarely,346.0,Research & Development,6.0,3.0,Life Sciences,1.0,4.0,Male,86.0,3.0,2.0,Laboratory Technician,4.0,Single,2450.0,10919.0,2.0
867,52.0,Travel_Frequently,890.0,Research & Development,25.0,4.0,Medical,1.0,3.0,Female,81.0,2.0,4.0,Manufacturing Director,4.0,Married,13826.0,19028.0,3.0
1934,47.0,Non-Travel,1169.0,Research & Development,14.0,4.0,Technical Degree,1.0,3.0,Male,64.0,3.0,2.0,Research Scientist,2.0,Married,5467.0,2125.0,8.0
1394,37.0,Travel_Rarely,1439.0,Research & Development,4.0,1.0,Life Sciences,1.0,3.0,Male,54.0,3.0,1.0,Research Scientist,3.0,Married,2996.0,5182.0,7.0
94,29.0,Travel_Rarely,1328.0,Research & Development,2.0,3.0,Life Sciences,1.0,3.0,Male,76.0,3.0,1.0,Research Scientist,2.0,Married,2703.0,4956.0,0.0
1507,28.0,Travel_Frequently,467.0,Sales,7.0,3.0,Life Sciences,1.0,3.0,Male,55.0,3.0,2.0,Sales Executive,1.0,Single,4898.0,11827.0,0.0
1534,40.0,Travel_Rarely,676.0,Research & Development,9.0,4.0,Life Sciences,1.0,4.0,Male,86.0,3.0,1.0,Laboratory Technician,1.0,Single,2018.0,21831.0,3.0
903,47.0,Travel_Rarely,249.0,Sales,2.0,2.0,Marketing,1.0,3.0,Female,35.0,3.0,2.0,Sales Executive,4.0,Married,4537.0,17783.0,0.0
1844,29.0,Travel_Rarely,350.0,Human Resources,13.0,3.0,Human Resources,1.0,1.0,Male,56.0,2.0,1.0,Human Resources,1.0,Divorced,2335.0,3157.0,4.0
298,41.0,Travel_Rarely,896.0,Sales,6.0,3.0,Life Sciences,1.0,4.0,Female,75.0,3.0,3.0,Manager,4.0,Single,13591.0,14674.0,3.0
330,32.0,Travel_Rarely,1401.0,Sales,4.0,2.0,Life Sciences,1.0,3.0,Female,56.0,3.0,1.0,Sales Representative,2.0,Married,3931.0,20990.0,2.0
464,35.0,Travel_Rarely,1296.0,Research & Development,5.0,4.0,Technical Degree,1.0,3.0,Male,62.0,3.0,3.0,Manufacturing Director,2.0,Single,8095.0,18264.0,0.0
1011,31.0,Travel_Frequently,853.0,Research & Development,1.0,1.0,Life Sciences,1.0,3.0,Female,96.0,3.0,2.0,Manufacturing Director,1.0,Married,4148.0,11275.0,1.0
19,28.0,Travel_Rarely,103.0,Research & Development,24.0,3.0,Life Sciences,1.0,3.0,Male,50.0,2.0,1.0,Laboratory Technician,3.0,Single,2028.0,12947.0,5.0
954,40.0,Travel_Rarely,658.0,Sales,10.0,4.0,Marketing,1.0,1.0,Male,67.0,2.0,3.0,Sales Executive,2.0,Divorced,9705.0,20652.0,2.0
1296,28.0,Travel_Frequently,193.0,Research & Development,2.0,3.0,Life Sciences,1.0,4.0,Male,52.0,2.0,1.0,Laboratory Technician,4.0,Married,3867.0,14222.0,1.0
2026,56.0,Non-Travel,667.0,Research & Development,1.0,4.0,Life Sciences,1.0,3.0,Male,57.0,3.0,2.0,Healthcare Representative,3.0,Divorced,6306.0,26236.0,1.0
531,39.0,Travel_Frequently,1218.0,Research & Development,1.0,1.0,Life Sciences,1.0,2.0,Male,52.0,3.0,5.0,Manager,3.0,Divorced,19197.0,8213.0,1.0
1220,33.0,Travel_Frequently,1146.0,Sales,25.0,3.0,Medical,1.0,2.0,Female,82.0,3.0,2.0,Sales Executive,3.0,Married,4539.0,4905.0,1.0
1513,29.0,Travel_Frequently,410.0,Research & Development,2.0,1.0,Life Sciences,1.0,4.0,Female,97.0,3.0,1.0,Laboratory Technician,2.0,Married,3180.0,4668.0,0.0
1908,36.0,Travel_Rarely,335.0,Sales,17.0,2.0,Marketing,1.0,3.0,Male,33.0,2.0,2.0,Sales Executive,2.0,Married,5507.0,16822.0,2.0
985,39.0,Travel_Rarely,903.0,Sales,2.0,5.0,Life Sciences,1.0,1.0,Male,41.0,4.0,3.0,Sales Executive,3.0,Single,7880.0,2560.0,0.0
618,26.0,Travel_Rarely,775.0,Sales,29.0,2.0,Medical,1.0,1.0,Male,45.0,3.0,2.0,Sales Executive,3.0,Divorced,4306.0,4267.0,5.0
260,27.0,Travel_Rarely,894.0,Research & Development,9.0,3.0,Medical,1.0,4.0,Female,99.0,3.0,1.0,Research Scientist,2.0,Single,2279.0,11781.0,1.0
813,52.0,Travel_Rarely,1325.0,Research & Development,11.0,4.0,Life Sciences,1.0,4.0,Female,82.0,3.0,2.0,Laboratory Technician,3.0,Married,3149.0,21821.0,8.0
453,40.0,Travel_Rarely,1124.0,Sales,1.0,2.0,Medical,1.0,2.0,Male,57.0,1.0,2.0,Sales Executive,4.0,Married,7457.0,13273.0,2.0
477,42.0,Travel_Rarely,1332.0,Research & Development,2.0,4.0,Other,1.0,1.0,Male,98.0,2.0,2.0,Healthcare Representative,4.0,Single,6781.0,17078.0,3.0
1905,34.0,Non-Travel,967.0,Research & Development,16.0,4.0,Technical Degree,1.0,4.0,Male,85.0,1.0,1.0,Research Scientist,1.0,Married,2307.0,14460.0,1.0
2051,40.0,Travel_Rarely,1194.0,Research & Development,2.0,4.0,Medical,1.0,3.0,Female,98.0,3.0,1.0,Research Scientist,3.0,Married,2001.0,12549.0,2.0
1338,56.0,Travel_Rarely,206.0,Human Resources,8.0,4.0,Life Sciences,1.0,4.0,Male,99.0,3.0,5.0,Manager,2.0,Single,19717.0,4022.0,6.0
1708,41.0,Travel_Rarely,918.0,Sales,6.0,3.0,Marketing,1.0,4.0,Male,35.0,3.0,3.0,Sales Executive,3.0,Single,9241.0,15869.0,1.0
482,57.0,Travel_Rarely,593.0,Research & Development,1.0,4.0,Medical,1.0,4.0,Male,88.0,3.0,2.0,Healthcare Representative,3.0,Married,6755.0,2967.0,2.0
698,54.0,Travel_Rarely,397.0,Human Resources,19.0,4.0,Medical,1.0,3.0,Male,88.0,3.0,3.0,Human Resources,2.0,Married,10725.0,6729.0,2.0
211,51.0,Travel_Rarely,1169.0,Research & Development,7.0,4.0,Medical,1.0,2.0,Male,34.0,2.0,2.0,Manufacturing Director,3.0,Married,6132.0,13983.0,2.0
909,39.0,Travel_Rarely,1383.0,Human Resources,2.0,3.0,Life Sciences,1.0,4.0,Female,42.0,2.0,2.0,Human Resources,4.0,Married,5204.0,7790.0,8.0
1653,25.0,Travel_Frequently,772.0,Research & Development,2.0,1.0,Life Sciences,1.0,4.0,Male,77.0,4.0,2.0,Manufacturing Director,3.0,Divorced,5206.0,4973.0,1.0
78,32.0,Travel_Rarely,427.0,Research & Development,1.0,3.0,Medical,1.0,1.0,Male,33.0,3.0,2.0,Manufacturing Director,4.0,Married,6162.0,10877.0,1.0
442,31.0,Travel_Frequently,798.0,Research & Development,7.0,2.0,Life Sciences,1.0,3.0,Female,48.0,2.0,3.0,Manufacturing Director,3.0,Married,8943.0,14034.0,1.0
380,37.0,Non-Travel,728.0,Research & Development,1.0,4.0,Medical,1.0,1.0,Female,80.0,3.0,3.0,Research Director,4.0,Divorced,13603.0,11677.0,2.0
199,41.0,Travel_Frequently,857.0,Research & Development,10.0,3.0,Life Sciences,1.0,4.0,Male,91.0,2.0,4.0,Manager,1.0,Divorced,17181.0,12888.0,4.0
170,49.0,Travel_Rarely,470.0,Research & Development,20.0,4.0,Medical,1.0,3.0,Female,96.0,3.0,2.0,Manufacturing Director,1.0,Married,6567.0,5549.0,1.0
81,59.0,Travel_Rarely,1435.0,Sales,25.0,3.0,Life Sciences,1.0,1.0,Female,99.0,3.0,3.0,Sales Executive,1.0,Single,7637.0,2354.0,7.0
982,30.0,Travel_Rarely,231.0,Sales,8.0,2.0,Other,1.0,3.0,Male,62.0,3.0,3.0,Sales Executive,3.0,Divorced,7264.0,9977.0,5.0
809,42.0,Travel_Frequently,570.0,Research & Development,8.0,3.0,Life Sciences,1.0,2.0,Male,66.0,3.0,5.0,Manager,4.0,Divorced,18430.0,16225.0,1.0
302,45.0,Non-Travel,1052.0,Sales,6.0,3.0,Medical,1.0,4.0,Female,57.0,2.0,3.0,Sales Executive,4.0,Single,8865.0,16840.0,6.0
390,26.0,Travel_Frequently,496.0,Research & Development,11.0,2.0,Medical,1.0,1.0,Male,60.0,3.0,2.0,Healthcare Representative,1.0,Married,4741.0,22722.0,1.0
734,41.0,Travel_Rarely,314.0,Human Resources,1.0,3.0,Human Resources,1.0,4.0,Male,59.0,2.0,5.0,Manager,3.0,Married,19189.0,19562.0,1.0
394,26.0,Travel_Rarely,1449.0,Research & Development,16.0,4.0,Medical,1.0,1.0,Male,45.0,3.0,1.0,Laboratory Technician,2.0,Divorced,2373.0,14180.0,2.0
152,37.0,Travel_Rarely,1189.0,Sales,3.0,3.0,Life Sciences,1.0,3.0,Male,87.0,3.0,3.0,Sales Executive,4.0,Single,7428.0,14506.0,2.0
1309,32.0,Travel_Rarely,1089.0,Research & Development,7.0,2.0,Life Sciences,1.0,4.0,Male,79.0,3.0,2.0,Laboratory Technician,3.0,Married,4883.0,22845.0,1.0
569,50.0,Travel_Rarely,1099.0,Research & Development,29.0,4.0,Life Sciences,1.0,2.0,Male,88.0,2.0,4.0,Manager,3.0,Married,17046.0,9314.0,0.0
201,19.0,Travel_Rarely,1181.0,Research & Development,3.0,1.0,Medical,1.0,2.0,Female,79.0,3.0,1.0,Laboratory Technician,2.0,Single,1483.0,16102.0,1.0
1483,57.0,Travel_Rarely,405.0,Research & Development,1.0,2.0,Life Sciences,1.0,2.0,Male,93.0,4.0,2.0,Research Scientist,3.0,Married,4900.0,2721.0,0.0
974,29.0,Travel_Frequently,1404.0,Sales,20.0,3.0,Technical Degree,1.0,3.0,Female,84.0,3.0,1.0,Sales Representative,4.0,Married,2157.0,18203.0,1.0
1597,34.0,Travel_Frequently,653.0,Research & Development,10.0,4.0,Technical Degree,1.0,4.0,Male,92.0,2.0,2.0,Healthcare Representative,3.0,Married,5063.0,15332.0,1.0
1219,24.0,Travel_Rarely,984.0,Research & Development,17.0,2.0,Life Sciences,1.0,4.0,Female,97.0,3.0,1.0,Laboratory Technician,2.0,Married,2210.0,3372.0,1.0
757,34.0,Travel_Rarely,970.0,Research & Development,8.0,2.0,Medical,1.0,2.0,Female,96.0,3.0,2.0,Healthcare Representative,3.0,Single,6142.0,7360.0,3.0
1972,38.0,Travel_Frequently,1444.0,Human Resources,1.0,4.0,Other,1.0,4.0,Male,88.0,3.0,1.0,Human Resources,2.0,Married,2991.0,5224.0,0.0
1581,26.0,Travel_Rarely,474.0,Research & Development,3.0,3.0,Life Sciences,1.0,1.0,Female,89.0,3.0,1.0,Research Scientist,4.0,Married,2061.0,11133.0,1.0
1862,32.0,Travel_Rarely,414.0,Sales,2.0,4.0,Marketing,1.0,3.0,Male,82.0,2.0,2.0,Sales Executive,2.0,Single,9907.0,26186.0,7.0
2024,36.0,Travel_Rarely,557.0,Sales,3.0,3.0,Medical,1.0,1.0,Female,94.0,2.0,3.0,Sales Executive,4.0,Married,7644.0,12695.0,0.0
1475,44.0,Travel_Rarely,1467.0,Research & Development,20.0,3.0,Life Sciences,1.0,4.0,Male,49.0,3.0,1.0,Research Scientist,2.0,Single,3420.0,21158.0,1.0
689,37.0,Travel_Rarely,482.0,Research & Development,3.0,3.0,Other,1.0,3.0,Male,36.0,3.0,3.0,Manufacturing Director,3.0,Married,9434.0,9606.0,1.0
14,35.0,Travel_Rarely,809.0,Research & Development,16.0,3.0,Medical,1.0,1.0,Male,84.0,4.0,1.0,Laboratory Technician,2.0,Married,2426.0,16479.0,0.0
643,24.0,Travel_Rarely,823.0,Research & Development,17.0,2.0,Other,1.0,4.0,Male,94.0,2.0,1.0,Laboratory Technician,2.0,Married,2127.0,9100.0,1.0
1779,34.0,Travel_Rarely,511.0,Sales,3.0,2.0,Life Sciences,1.0,4.0,Female,32.0,1.0,2.0,Sales Executive,4.0,Single,6029.0,25353.0,5.0
218,27.0,Non-Travel,691.0,Research & Development,9.0,3.0,Medical,1.0,4.0,Male,57.0,3.0,1.0,Research Scientist,2.0,Divorced,2024.0,5970.0,6.0
1390,39.0,Travel_Rarely,1498.0,Sales,21.0,4.0,Life Sciences,1.0,1.0,Male,44.0,2.0,2.0,Sales Executive,4.0,Married,6120.0,3567.0,3.0
1307,39.0,Travel_Rarely,412.0,Research & Development,13.0,4.0,Medical,1.0,3.0,Female,94.0,2.0,4.0,Manager,2.0,Divorced,17123.0,17334.0,6.0
